,Product Name,Company Name,Current Price,Dicounted Price,Old Price
0,"Men Printed, Typography Round Neck Cotton Blend Black T...",Smartees,249,83%,"1,499"
1,Men Printed Round Neck Pure Cotton White T-Shirt,BUKKL,443,77%,"1,999"
2,"Men Printed, Typography Round Neck Cotton Blend Black T...",Smartees,119,92%,"1,599"
3,"Men Printed Hooded Neck Cotton Blend White, Black T-Shi...",Jump Cuts,329,78%,"1,519"
4,Men Printed Round Neck Cotton Blend Black T-Shirt,NB NICKY BOY,199,70%,666
5,"Men Printed, Typography Round Neck Cotton Blend Black T...",AUSK,149,90%,"1,499"
6,"Men Printed, Typography Round Neck Polyester White T-Sh...",Lamour,249,68%,799
7,"Men Typography Round Neck Cotton Blend Black, Dark Gree...",LEWEL,329,83%,"1,999"
8,Men Self Design Polo Neck Cotton Blend (220 gsm) Green ...,3BROS,299,70%,999
9,Men Solid Round Neck Polyester Black T-Shirt,FTX,100,83%,599
10,"Pack of 2 Men Printed Round Neck Polyester Pink, Dark G...",KAJARU,389,79%,"1,899"
11,Pack of 5 Men Solid Round Neck Polyester Multicolor T-S...,InkTees,384,84%,"2,495"
12,Men Printed Round Neck Polyester Grey T-Shirt,KAJARU,109,92%,"1,399"
13,"Men Solid, Printed Round Neck Polyester White T-Shirt",SAVIE,242,75%,999
14,"Men Colorblock Hooded Neck Cotton Blend Black, Red T-Sh...",HELMONT,199,80%,999
15,"Men Typography Hooded Neck Cotton Blend Green, Black T-...",LEWEL,257,87%,"1,999"
16,Men Printed Round Neck Pure Cotton Dark Blue T-Shirt,Roadster,300,49%,599
17,"Men Printed, Typography Round Neck Cotton Blend Black T...",BLIVE,249,87%,"1,999"
18,Men Printed Round Neck Polyester Multicolor T-Shirt,NITYANAND CREATIONS,224,71%,799
19,Men Solid Round Neck Cotton Blend Black T-Shirt,London Hills,249,80%,"1,299"
20,"Pack of 2 Men Printed Round Neck Polyester Pink, Grey T...",KAJARU,389,79%,"1,899"
21,"Pack of 4 Men Solid Round Neck Polyester Light Blue, Bl...",FTX,439,70%,"1,499"
22,"Men Printed, Typography Round Neck Cotton Blend Black T...",AUSK,149,90%,"1,499"
23,Men Typography Round Neck Cotton Blend White T-Shirt,Smartees,189,81%,999
24,"Men Printed, Typography Round Neck Cotton Blend Black T...",Smartees,119,90%,"1,299"
25,Men Checkered Round Neck Poly Cotton Grey T-Shirt,VeBNoR,279,72%,999
26,Ms Ess Men Solid Polo Neck Pure Cotton Black T-Shirt,PUMA,629,62%,"1,699"
27,Pack of 4 Men Solid Round Neck Polyester Multicolor T-S...,FTX,439,70%,"1,499"
28,Men Printed Round Neck Polyester Multicolor T-Shirt,NITYANAND CREATIONS,230,71%,799
29,Men Printed Round Neck Cotton Blend Light Blue T-Shirt,NB NICKY BOY,199,70%,666
30,Men Printed Round Neck Polyester Black T-Shirt,U BOSS SPORT,264,77%,"1,199"
31,"Men Printed, Typography Round Neck Cotton Blend Black T...",BLIVE,249,87%,"1,999"
32,"Men Printed Round Neck Cotton Blend Red, Black T-Shirt",AUSK,149,90%,"1,499"
33,Men Self Design Round Neck Polyester Black T-Shirt,KYK,250,66%,749
34,Men Printed Round Neck Polyester White T-Shirt,NITYANAND CREATIONS,224,71%,799
35,Pack of 5 Round_5_05_S Men Solid Round Neck Polyester M...,InkTees,384,84%,"2,495"
36,Men Typography Round Neck Reversible Modal Black T-Shir...,U BOSS SPORT,244,79%,"1,199"
37,Men Solid Round Neck Cotton Blend Black T-Shirt,London Hills,249,80%,"1,299"
38,Men Self Design Polo Neck Cotton Blend (220 gsm) Green ...,3BROS,299,70%,999
39,Men Printed Round Neck Polyester Grey T-Shirt,E-MAX,353,72%,"1,299"
